epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,612.721,1.19886,0.96136,1.31762,0.86694,0.84409,0.89729,0.62458,1.04529,0.83512,1.20133,0.000983666,0.000983666,0.000983666
43,627.165,1.19069,0.94357,1.31717,0.89573,0.87752,0.92795,0.64772,1.00337,0.71344,1.1917,0.000982864,0.000982864,0.000982864
44,641.68,1.20136,0.96154,1.33191,0.92529,0.799,0.92439,0.68658,0.93238,0.75587,1.16384,0.000982043,0.000982043,0.000982043
45,656.306,1.19636,0.94086,1.31517,0.85098,0.89037,0.9188,0.67605,0.96554,0.71744,1.19572,0.000981204,0.000981204,0.000981204
46,670.826,1.16577,0.91782,1.2978,0.87541,0.89247,0.94512,0.6724,1.01349,0.71649,1.18224,0.000980345,0.000980345,0.000980345
47,685.341,1.16899,0.92366,1.30101,0.87735,0.84613,0.9106,0.63766,1.10084,0.73492,1.20443,0.000979468,0.000979468,0.000979468
48,699.815,1.1452,0.91248,1.28852,0.94607,0.84884,0.94512,0.68918,0.9355,0.6717,1.15016,0.000978572,0.000978572,0.000978572
49,714.295,1.13192,0.90077,1.2958,0.84731,0.83871,0.894,0.55953,1.24012,0.8129,1.37504,0.000977658,0.000977658,0.000977658
50,728.725,1.14927,0.91097,1.29122,0.89735,0.84599,0.90498,0.62247,1.05338,0.76661,1.2477,0.000976725,0.000976725,0.000976725
51,743.223,1.15469,0.90359,1.30063,0.87182,0.82258,0.90752,0.66056,0.96769,0.76034,1.19356,0.000975773,0.000975773,0.000975773
52,757.738,1.14997,0.88108,1.28889,0.901,0.88172,0.9355,0.64519,1.0834,0.71645,1.18807,0.000974803,0.000974803,0.000974803
53,772.203,1.15187,0.88783,1.29466,0.85457,0.90323,0.93966,0.65457,1.03893,0.70363,1.20518,0.000973814,0.000973814,0.000973814
54,786.655,1.1275,0.87255,1.27524,0.89799,0.86022,0.9238,0.63432,1.13704,0.69948,1.25735,0.000972806,0.000972806,0.000972806
55,801.129,1.11782,0.85758,1.27155,0.89786,0.88172,0.93758,0.68826,0.94727,0.69451,1.16063,0.00097178,0.00097178,0.00097178
56,815.58,1.12675,0.86456,1.27876,0.88939,0.86457,0.91964,0.67976,0.96738,0.68802,1.18661,0.000970736,0.000970736,0.000970736
57,830.074,1.14099,0.87081,1.27628,0.88763,0.8494,0.91525,0.64402,1.01875,0.70458,1.18469,0.000969673,0.000969673,0.000969673
58,844.637,1.10352,0.86663,1.26708,0.90998,0.86022,0.93443,0.67695,0.97204,0.69837,1.16144,0.000968592,0.000968592,0.000968592
59,859.021,1.1115,0.84825,1.2561,0.92554,0.86878,0.93863,0.68903,0.9688,0.67698,1.17,0.000967493,0.000967493,0.000967493
60,873.49,1.11565,0.85556,1.26597,0.89913,0.84409,0.92862,0.66685,1.01437,0.67346,1.20052,0.000966375,0.000966375,0.000966375
61,887.988,1.10494,0.84662,1.25912,0.86859,0.87634,0.9198,0.64714,1.01729,0.7205,1.21632,0.000965239,0.000965239,0.000965239
62,902.43,1.09282,0.83395,1.25682,0.90882,0.85737,0.92162,0.69822,0.92457,0.62702,1.14865,0.000964085,0.000964085,0.000964085
63,916.935,1.10656,0.84145,1.2664,0.86433,0.87097,0.899,0.59601,1.19538,0.75287,1.29782,0.000962913,0.000962913,0.000962913
64,931.389,1.10472,0.84746,1.26061,0.88072,0.91307,0.94111,0.67636,0.97967,0.64687,1.18311,0.000961723,0.000961723,0.000961723
65,946.042,1.08764,0.83801,1.25484,0.89764,0.84864,0.91101,0.66526,1.05108,0.72463,1.20712,0.000960515,0.000960515,0.000960515
66,960.497,1.07763,0.83185,1.25555,0.85229,0.87097,0.91995,0.65919,1.04393,0.6955,1.1815,0.000959289,0.000959289,0.000959289
67,974.903,1.08551,0.83193,1.24796,0.92647,0.80645,0.9017,0.65032,1.0404,0.71712,1.21447,0.000958044,0.000958044,0.000958044
68,989.374,1.09943,0.85699,1.25798,0.91768,0.83913,0.94121,0.70612,0.91084,0.62728,1.14676,0.000956782,0.000956782,0.000956782
69,1003.85,1.05926,0.80669,1.23493,0.93118,0.82258,0.92375,0.66105,1.02802,0.66529,1.16955,0.000955502,0.000955502,0.000955502
70,1018.32,1.08369,0.83883,1.24818,0.87729,0.86022,0.92789,0.68483,0.95549,0.65961,1.17815,0.000954205,0.000954205,0.000954205
71,1032.76,1.06851,0.80537,1.23451,0.90631,0.8871,0.95089,0.71671,0.92105,0.57734,1.14681,0.000952889,0.000952889,0.000952889
72,1047.24,1.08919,0.81741,1.25612,0.89893,0.91398,0.94278,0.69808,0.90775,0.62848,1.1278,0.000951556,0.000951556,0.000951556
73,1061.73,1.05837,0.80359,1.22686,0.8232,0.85114,0.89842,0.64565,0.97126,0.77539,1.15351,0.000950206,0.000950206,0.000950206
74,1076.26,1.0591,0.81336,1.23258,0.92954,0.88172,0.93033,0.68019,0.99435,0.65154,1.17617,0.000948837,0.000948837,0.000948837
75,1090.69,1.05241,0.78932,1.22691,0.90896,0.8871,0.93957,0.68739,0.93991,0.59277,1.13859,0.000947452,0.000947452,0.000947452
76,1105.09,1.04976,0.77891,1.21742,0.88535,0.90323,0.93595,0.70968,0.90451,0.61523,1.1519,0.000946048,0.000946048,0.000946048
77,1119.69,1.06293,0.79554,1.2323,0.90921,0.86022,0.93166,0.64366,1.07425,0.68843,1.22693,0.000944628,0.000944628,0.000944628
78,1134.11,1.04125,0.77527,1.2265,0.87149,0.91153,0.93229,0.69307,0.94868,0.62029,1.15319,0.000943189,0.000943189,0.000943189
79,1148.52,1.03936,0.78714,1.22428,0.89389,0.90323,0.9294,0.67302,0.99405,0.61089,1.20465,0.000941734,0.000941734,0.000941734
80,1162.96,1.03825,0.7799,1.22246,0.88629,0.91398,0.94078,0.72805,0.88316,0.56067,1.12128,0.000940262,0.000940262,0.000940262
81,1177.53,1.03995,0.77171,1.22516,0.88464,0.83333,0.89713,0.67531,0.92695,0.73409,1.16401,0.000938772,0.000938772,0.000938772
82,1191.89,1.03386,0.76483,1.21576,0.8884,0.91398,0.91901,0.67352,0.91323,0.58508,1.13517,0.000937265,0.000937265,0.000937265
83,1206.38,1.01224,0.75564,1.20896,0.9083,0.88172,0.94791,0.71832,0.87735,0.63583,1.12454,0.000935741,0.000935741,0.000935741
84,1220.86,1.03921,0.77586,1.21735,0.91169,0.88808,0.9323,0.71983,0.87708,0.58284,1.11668,0.0009342,0.0009342,0.0009342
85,1235.29,1.03425,0.77821,1.21804,0.923,0.86022,0.94579,0.70806,0.92172,0.64584,1.15856,0.000932642,0.000932642,0.000932642
86,1249.74,1.01034,0.76674,1.20764,0.93506,0.8515,0.93783,0.71528,0.87605,0.5784,1.1278,0.000931067,0.000931067,0.000931067
