epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2608.37,1.21445,1.01458,1.40911,0.88564,0.79106,0.88253,0.61376,1.00104,0.67163,1.2612,0.000983666,0.000983666,0.000983666
43,2670.77,1.21813,1.01039,1.41189,0.85476,0.85431,0.91739,0.65036,0.98787,0.64093,1.24304,0.000982864,0.000982864,0.000982864
44,2732.39,1.20611,1.01018,1.42144,0.84465,0.83333,0.90057,0.65844,0.90528,0.64723,1.24714,0.000982043,0.000982043,0.000982043
45,2794.83,1.22366,1.01481,1.42258,0.8926,0.90323,0.94106,0.70719,0.79947,0.57267,1.13461,0.000981204,0.000981204,0.000981204
46,2856.67,1.20051,0.98319,1.39882,0.84665,0.84409,0.9041,0.6038,1.13542,0.73664,1.22907,0.000980345,0.000980345,0.000980345
47,2919.07,1.18297,0.98386,1.38343,0.88764,0.86559,0.92473,0.65657,0.93942,0.62581,1.19749,0.000979468,0.000979468,0.000979468
48,2980.7,1.15794,0.9461,1.37579,0.92412,0.7957,0.912,0.65905,0.8729,0.61705,1.21434,0.000978572,0.000978572,0.000978572
49,3043,1.16918,0.95562,1.37764,0.88811,0.89619,0.93316,0.67351,0.84867,0.56897,1.15129,0.000977658,0.000977658,0.000977658
50,3104.65,1.18081,0.9422,1.386,0.89596,0.84946,0.92889,0.67175,0.91382,0.56383,1.2073,0.000976725,0.000976725,0.000976725
51,3167.06,1.1738,0.94804,1.37674,0.88074,0.91318,0.93839,0.69082,0.84761,0.55081,1.16677,0.000975773,0.000975773,0.000975773
52,3228.76,1.16898,0.94758,1.378,0.90269,0.89247,0.93569,0.66551,0.93673,0.58646,1.15448,0.000974803,0.000974803,0.000974803
53,3291.15,1.1528,0.91731,1.36464,0.89194,0.88752,0.94174,0.67361,0.94053,0.55703,1.20902,0.000973814,0.000973814,0.000973814
54,3352.78,1.16871,0.91472,1.38008,0.94712,0.87097,0.9494,0.67966,0.91508,0.55765,1.1491,0.000972806,0.000972806,0.000972806
55,3415.24,1.1525,0.91761,1.36248,0.92712,0.8891,0.95134,0.70227,0.82327,0.52194,1.1405,0.00097178,0.00097178,0.00097178
56,3476.9,1.14601,0.92478,1.35296,0.89378,0.86559,0.93951,0.6759,0.89597,0.5752,1.15274,0.000970736,0.000970736,0.000970736
57,3539.35,1.15418,0.91096,1.36156,0.89371,0.87634,0.92388,0.66857,0.92603,0.6142,1.15898,0.000969673,0.000969673,0.000969673
58,3601.04,1.16799,0.91838,1.36756,0.87469,0.86317,0.92951,0.68138,0.84356,0.56799,1.14449,0.000968592,0.000968592,0.000968592
59,3663.37,1.12594,0.91695,1.35844,0.89098,0.90323,0.94656,0.71381,0.78571,0.53691,1.13412,0.000967493,0.000967493,0.000967493
60,3725.17,1.11805,0.86502,1.34482,0.86937,0.92473,0.94307,0.70148,0.85905,0.53253,1.16234,0.000966375,0.000966375,0.000966375
61,3787.56,1.13586,0.89431,1.36673,0.91622,0.82317,0.94056,0.70919,0.80134,0.54237,1.14706,0.000965239,0.000965239,0.000965239
62,3849.2,1.12292,0.89133,1.34929,0.90606,0.87097,0.94415,0.69777,0.84721,0.54121,1.14462,0.000964085,0.000964085,0.000964085
63,3911.54,1.1079,0.8655,1.34086,0.89664,0.88617,0.93377,0.71223,0.77175,0.53715,1.09843,0.000962913,0.000962913,0.000962913
64,3973.14,1.11938,0.8614,1.34704,0.87753,0.88607,0.9378,0.69139,0.80968,0.52906,1.16491,0.000961723,0.000961723,0.000961723
65,4035.51,1.11099,0.87406,1.3417,0.86359,0.9086,0.94429,0.6685,0.9323,0.57528,1.17298,0.000960515,0.000960515,0.000960515
66,4097.16,1.1149,0.88431,1.34883,0.93666,0.87097,0.94629,0.70221,0.7902,0.49971,1.12941,0.000959289,0.000959289,0.000959289
67,4159.54,1.10229,0.86819,1.33286,0.88224,0.8871,0.93595,0.67732,0.80393,0.55639,1.11527,0.000958044,0.000958044,0.000958044
68,4221.23,1.09978,0.87585,1.34347,0.89725,0.89202,0.94695,0.69464,0.82136,0.54306,1.10937,0.000956782,0.000956782,0.000956782
69,4283.56,1.09362,0.84708,1.31879,0.89435,0.86469,0.93596,0.69315,0.80681,0.54718,1.10885,0.000955502,0.000955502,0.000955502
70,4345.23,1.09038,0.8427,1.32494,0.90677,0.91398,0.95055,0.71874,0.77951,0.50275,1.08534,0.000954205,0.000954205,0.000954205
71,4407.67,1.08584,0.83417,1.32591,0.93556,0.85858,0.94907,0.70143,0.82708,0.53373,1.10685,0.000952889,0.000952889,0.000952889
72,4469.35,1.08264,0.83994,1.31324,0.87504,0.90356,0.94248,0.6965,0.80495,0.51288,1.13404,0.000951556,0.000951556,0.000951556
73,4531.67,1.08097,0.83365,1.31856,0.87337,0.92473,0.95258,0.7181,0.77614,0.47274,1.11618,0.000950206,0.000950206,0.000950206
74,4593.35,1.06557,0.80948,1.30908,0.86803,0.9086,0.9314,0.68206,0.87631,0.53386,1.14497,0.000948837,0.000948837,0.000948837
75,4655.65,1.08199,0.82505,1.31909,0.90593,0.88021,0.93839,0.71152,0.7593,0.51673,1.11738,0.000947452,0.000947452,0.000947452
76,4717.26,1.04748,0.79931,1.29879,0.90933,0.87634,0.95187,0.7167,0.79336,0.49462,1.10107,0.000946048,0.000946048,0.000946048
